epoch,lr,time,loss
304,0.0001,20:29:43,0.19516455997591434
305,0.0001,20:29:45,0.19502783663894818
306,0.0001,20:29:47,0.19499671329622684
307,0.0001,20:29:48,0.19494356992452042
308,0.0001,20:29:50,0.19494062726912292
309,0.0001,20:29:52,0.19466008310732635
310,0.0001,20:29:54,0.1949407063100649
311,0.0001,20:29:55,0.19486747163793314
312,0.0001,20:29:57,0.19476946929226752
313,0.0001,20:29:59,0.19462188300879105
314,0.0001,20:30:01,0.19519203901290894
315,0.0001,20:30:03,0.1945184702458589
316,0.0001,20:30:04,0.19442770079426144
317,0.0001,20:30:06,0.19427517639554065
318,0.0001,20:30:08,0.19454602508441263
319,0.0001,20:30:10,0.19481089905552243
320,0.0001,20:30:11,0.19464431703090668
321,0.0001,20:30:13,0.1944375718417375
322,0.0001,20:30:15,0.1944122385719548
323,0.0001,20:30:17,0.19471445096575696
324,0.0001,20:30:18,0.19434262941712918
325,0.0001,20:30:20,0.19442375976106394
326,0.0001,20:30:22,0.19453755539396536
327,0.0001,20:30:24,0.1941619774569636
328,0.0001,20:30:26,0.19415320391240326
329,0.0001,20:30:27,0.19428314657314963
330,0.0001,20:30:29,0.19428452849388123
331,0.0001,20:30:31,0.19434209621470908
332,0.0001,20:30:33,0.19409219985422882
333,0.0001,20:30:34,0.19420909622441168
334,0.0001,20:30:36,0.19435688918051514
335,0.0001,20:30:38,0.1941472447436789
336,0.0001,20:30:40,0.1942369186359903
337,0.0001,20:30:42,0.19419519408889438
338,0.0001,20:30:43,0.1941406266844791
339,0.0001,20:30:45,0.19410834947358008
340,0.0001,20:30:47,0.1944263447885928
341,0.0001,20:30:49,0.19406192652557208
342,0.0001,20:30:50,0.19378199849439703
343,0.0001,20:30:52,0.19377646886784097
344,0.0001,20:30:54,0.19413109642008078
345,0.0001,20:30:56,0.19408073049524557
346,0.0001,20:30:57,0.1940389800330867
347,0.0001,20:30:59,0.19386391536049222
348,0.0001,20:31:01,0.1941866706246915
349,0.0001,20:31:03,0.19407132332739624
350,1e-05,20:31:04,0.19341824624849402
351,1e-05,20:31:06,0.1937411446934161
352,1e-05,20:31:08,0.19346966302913168
353,1e-05,20:31:10,0.19350703319777612
354,1e-05,20:31:12,0.19340096478876861
355,1e-05,20:31:13,0.19338218155114548
