epoch,lr,time,loss
0,3.125e-05,17:09:48,6.512786058279184
1,6.25e-05,17:09:51,6.504596856924204
2,0.000125,17:09:54,6.488256674546462
3,0.00025,17:09:57,6.44232992025522
4,0.0005,17:10:00,6.205535338475154
5,0.001,17:10:03,5.47292999120859
6,0.001,17:10:06,5.117435638721172
7,0.001,17:10:08,4.970549546755278
8,0.001,17:10:11,4.847715854644775
9,0.001,17:10:13,4.746889407818134
10,0.001,17:10:15,4.669861793518066
11,0.001,17:10:18,4.6054498965923605
12,0.001,17:10:20,4.5282661731426535
13,0.001,17:10:23,4.466456486628606
14,0.001,17:10:25,4.405189294081468
15,0.001,17:10:28,4.343902331132155
16,0.001,17:10:30,4.294533912952129
17,0.001,17:10:32,4.246929498819204
18,0.001,17:10:35,4.197713998647837
19,0.001,17:10:38,4.151422500610352
20,0.001,17:10:40,4.089369370387151
21,0.001,17:10:43,4.030125783039973
22,0.001,17:10:45,3.96663577740009
23,0.001,17:10:48,3.8991768176739035
24,0.001,17:10:51,3.814960241317749
25,0.001,17:10:53,3.7394421100616455
26,0.001,17:10:56,3.6740550077878513
27,0.001,17:10:58,3.6336954006781945
28,0.001,17:11:01,3.5688849045680118
29,0.001,17:11:03,3.50296427653386
30,0.001,17:11:06,3.4360916431133566
31,0.001,17:11:09,3.383069661947397
32,0.001,17:11:11,3.3248335214761586
33,0.001,17:11:14,3.2648212909698486
34,0.001,17:11:16,3.213524708381066
35,0.001,17:11:19,3.1568321814903846
36,0.001,17:11:22,3.098075976738563
37,0.001,17:11:24,3.0554988934443545
38,0.001,17:11:27,3.012017873617319
39,0.001,17:11:29,3.0024702548980713
40,0.001,17:11:31,2.9552975801321177
41,0.001,17:11:34,2.8970140310434194
42,0.001,17:11:37,2.933556373302753
43,0.001,17:11:39,2.9058576913980336
44,0.001,17:11:42,2.838161046688373
45,0.001,17:11:45,2.7936540933755727
46,0.001,17:11:48,2.75531739455003
47,0.001,17:11:51,2.7233025294083815
48,0.001,17:11:54,2.6949282609499416
49,0.001,17:11:57,2.671684375176063
50,0.001,17:12:00,2.639665016761193
51,0.001,17:12:03,2.6150405957148624
52,0.001,17:12:06,2.5855352328373837
53,0.001,17:12:09,2.5671358842116137
54,0.001,17:12:12,2.5480246543884277
55,0.001,17:12:15,2.517839633501493
56,0.001,17:12:18,2.544786728345431
57,0.001,17:12:21,2.5446575421553392
58,0.001,17:12:25,2.491776704788208
59,0.001,17:12:28,2.450708499321571
60,0.001,17:12:31,2.4187627939077525
61,0.001,17:12:34,2.398322417185857
62,0.001,17:12:37,2.3777653804192176
63,0.001,17:12:40,2.3585294026594896
64,0.001,17:12:43,2.3513032839848447
65,0.001,17:12:46,2.319649567970863
66,0.001,17:12:49,2.304464890406682
67,0.001,17:12:52,2.286064569766705
68,0.001,17:12:55,2.269871326593252
69,0.001,17:12:57,2.269129312955416
70,0.001,17:13:00,2.28201281107389
71,0.001,17:13:02,2.2492453318375807
72,0.001,17:13:05,2.214113180453961
73,0.001,17:13:07,2.1982618295229397
74,0.001,17:13:10,2.1848654930408182
75,0.001,17:13:12,2.1637675211979794
76,0.001,17:13:15,2.1742620651538553
77,0.001,17:13:17,2.2313933555896464
78,0.001,17:13:20,2.20625193302448
79,0.001,17:13:22,2.1552874675163856
80,0.001,17:13:25,2.124980798134437
81,0.001,17:13:27,2.1075193148392897
82,0.001,17:13:30,2.0979121098151574
83,0.001,17:13:32,2.0872521583850565
84,0.001,17:13:35,2.087898932970487
85,0.001,17:13:37,2.0750337472328773
86,0.001,17:13:40,2.038783073425293
87,0.001,17:13:42,2.0243582542125997
88,0.001,17:13:45,2.0877246214793277
89,0.001,17:13:47,2.0267475109833937
90,0.001,17:13:50,1.99202849314763
91,0.001,17:13:52,1.9803842856333806
92,0.001,17:13:55,1.965098032584557
93,0.001,17:13:57,1.9480411089383638
94,0.001,17:14:00,1.9411296661083515
95,0.001,17:14:02,1.9256101846694946
96,0.001,17:14:05,1.914121462748601
97,0.001,17:14:07,1.9032612947317271
98,0.001,17:14:10,1.8942227271886973
99,0.001,17:14:12,1.8839802650304942
100,0.001,17:14:15,1.868025174507728
101,0.001,17:14:17,1.8634475469589233
102,0.001,17:14:20,1.8574840839092548
103,0.001,17:14:22,1.8476738104453454
104,0.001,17:14:25,1.8291839544589703
105,0.001,17:14:27,1.8266429259226873
106,0.001,17:14:30,1.8306668721712553
107,0.001,17:14:32,1.8357642338826106
108,0.001,17:14:35,1.8071307769188514
109,0.001,17:14:37,1.7853579796277559
110,0.001,17:14:40,1.8564285681797907
111,0.001,17:14:43,1.8635237216949463
112,0.001,17:14:45,1.8289677088077252
113,0.001,17:14:48,1.8096154194611769
114,0.001,17:14:50,1.802358049612779
115,0.001,17:14:53,1.7533002083118145
116,0.001,17:14:55,1.7354430785545936
117,0.001,17:14:58,1.7234938419782198
118,0.001,17:15:01,1.7158490052590003
119,0.001,17:15:03,1.708850044470567
120,0.001,17:15:06,1.693916265781109
121,0.001,17:15:08,1.7014519984905536
122,0.001,17:15:11,1.7023001542458167
123,0.001,17:15:13,1.693048092035147
124,0.001,17:15:16,1.676363284771259
125,0.001,17:15:18,1.6637879701761098
126,0.001,17:15:21,1.6744837760925293
127,0.001,17:15:23,1.675926006757296
128,0.001,17:15:26,1.6740864240206206
129,0.001,17:15:29,1.6654984125724206
130,0.001,17:15:31,1.6339678764343262
131,0.001,17:15:34,1.6175985244604258
132,0.001,17:15:36,1.6061956882476807
133,0.001,17:15:39,1.6036537702266986
134,0.001,17:15:41,1.5941918996664195
135,0.001,17:15:44,1.5961847855494573
136,0.001,17:15:47,1.5964208657924945
137,0.001,17:15:49,1.585051940037654
138,0.001,17:15:52,1.5749175273455107
139,0.001,17:15:55,1.5659711360931396
140,0.001,17:15:57,1.5660115480422974
141,0.001,17:16:00,1.5566046513043916
142,0.001,17:16:03,1.5594323323323176
143,0.001,17:16:05,1.5752524137496948
144,0.001,17:16:08,1.5724186622179472
145,0.001,17:16:11,1.5622638830771813
146,0.001,17:16:13,1.539219590333792
147,0.001,17:16:16,1.5262902883382945
148,0.001,17:16:19,1.51319197508005
149,0.001,17:16:21,1.5093919130472035
150,0.001,17:16:24,1.497579235296983
151,0.001,17:16:27,1.536986992909358
152,0.001,17:16:29,1.5543784636717577
153,0.001,17:16:32,1.5151696571936975
154,0.001,17:16:34,1.4827924966812134
155,0.001,17:16:37,1.465718856224647
156,0.001,17:16:40,1.4593531351823072
157,0.001,17:16:42,1.4594446879166822
158,0.001,17:16:45,1.455728319975046
159,0.001,17:16:47,1.4460832797563994
160,0.001,17:16:50,1.4459819151804998
161,0.001,17:16:52,1.5134968849328847
162,0.001,17:16:55,1.5088856036846454
163,0.001,17:16:57,1.4601460603567271
164,0.001,17:17:00,1.4463583781169012
165,0.001,17:17:02,1.427181051327632
166,0.001,17:17:05,1.4257617730360765
167,0.001,17:17:07,1.4178495957301214
168,0.001,17:17:10,1.4068254690903883
169,0.001,17:17:13,1.396893941439115
170,0.001,17:17:15,1.4044143511698797
171,0.001,17:17:18,1.3884592881569495
172,0.001,17:17:20,1.3819400255496685
173,0.001,17:17:23,1.3804679467127874
174,0.001,17:17:26,1.3763405818205614
175,0.001,17:17:28,1.378090005654555
176,0.001,17:17:31,1.3951448568930993
177,0.001,17:17:34,1.449829468360314
178,0.001,17:17:37,1.3911922894991362
179,0.001,17:17:39,1.3663327143742487
180,0.001,17:17:42,1.373480145747845
181,0.001,17:17:44,1.388127592893747
182,0.001,17:17:47,1.367731241079477
183,0.001,17:17:49,1.3965531220802894
184,0.001,17:17:52,1.3930586668161244
185,0.001,17:17:54,1.3541908172460704
186,0.001,17:17:57,1.3263368148070116
187,0.001,17:17:59,1.32376923927894
188,0.001,17:18:02,1.3242688545813928
189,0.001,17:18:04,1.3232972071721003
190,0.001,17:18:07,1.3324201657221868
191,0.001,17:18:09,1.3190528521170983
192,0.001,17:18:12,1.3448007198480458
193,0.001,17:18:14,1.314224784190838
194,0.001,17:18:17,1.3112962796137884
195,0.001,17:18:20,1.2949953170923085
196,0.001,17:18:22,1.2895449950144842
197,0.001,17:18:25,1.282177915939918
198,0.001,17:18:27,1.2849797835716834
199,0.001,17:18:30,1.35432440500993
200,0.001,17:18:32,1.3340787153977613
201,0.001,17:18:35,1.2944645606554472
202,0.001,17:18:37,1.2738822881992047
203,0.001,17:18:40,1.2656164902907152
204,0.001,17:18:43,1.2577643669568574
205,0.001,17:18:45,1.2565137789799616
206,0.001,17:18:48,1.2634655328897328
207,0.001,17:18:50,1.2519578291819646
208,0.001,17:18:53,1.2423279010332549
209,0.001,17:18:55,1.2552539385282075
210,0.001,17:18:58,1.2456174080188458
211,0.001,17:19:01,1.244215460924002
212,0.001,17:19:03,1.236561894416809
213,0.001,17:19:06,1.318368022258465
214,0.001,17:19:09,1.259725598188547
215,0.001,17:19:11,1.2313259564913237
216,0.001,17:19:14,1.2154706074641302
217,0.001,17:19:16,1.210302628003634
218,0.001,17:19:19,1.2128479389043956
219,0.001,17:19:21,1.2181181449156542
220,0.001,17:19:24,1.2193756653712347
221,0.001,17:19:27,1.2124884862166185
222,0.001,17:19:29,1.2088948304836566
223,0.001,17:19:32,1.3339558014502892
224,0.001,17:19:34,1.2456297415953417
225,0.001,17:19:37,1.2138404754491954
226,0.001,17:19:40,1.1969465567515447
227,0.001,17:19:42,1.2025042130396917
228,0.001,17:19:45,1.1856537323731642
229,0.001,17:19:48,1.1759333243736854
230,0.001,17:19:50,1.1711149857594416
231,0.001,17:19:53,1.1712892055511475
232,0.001,17:19:55,1.1673366198172936
233,0.001,17:19:58,1.1616199016571045
234,0.001,17:20:01,1.1601315278273363
235,0.001,17:20:03,1.1630814900765052
