LineId,Month,Day,Time,User,Compoent,Content,EventId,EventTemplate,ParameterList
49,Jun,2,09:32:25,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
50,Jun,2,09:32:25,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
51,Jun,2,09:32:25,localhost,fprintd, ** Message: entering main loop,E13,** Message: entering main loop,[]
52,Jun,2,09:32:56,localhost,fprintd," ** Message: No devices in use, exit",E14,"** Message: No devices in use, exit",[]
53,Jun,2,09:34:40,localhost,dhclient[741], DHCPREQUEST on eno16777984 to 192.168.124.254 port 67 (xid=0xc146ae0),E15,DHCPREQUEST on eno16777984 to <*> port 67 <*>,[]
54,Jun,2,09:34:40,localhost,dhclient[741], DHCPACK from 192.168.124.254 (xid=0xc146ae0),E16,DHCPACK from <*> <*>,[]
55,Jun,2,09:34:40,localhost,NetworkManager[570], <info>  (eno16777984): DHCPv4 state changed renew -> renew,E17,<info> (eno16777984): DHCPv4 state changed <*> -> <*>,"[' <info>', 'renew', '-> renew']"
56,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    address 192.168.124.130,E18,<info> address <*>,"[' <info>', '192.168.124.130']"
57,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    plen 24 (255.255.255.0),E19,<info> plen 24 (<*>),"[' <info>', '255.255.255.0']"
58,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    gateway 192.168.124.2,E20,<info> gateway <*>,"[' <info>', '192.168.124.2']"
59,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    server identifier 192.168.124.254,E21,<info> server identifier <*>,"[' <info>', '192.168.124.254']"
60,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    lease time 1800,E22,<info> lease time 1800,[' <info>']
61,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    nameserver '192.168.124.2',E23,<info> nameserver '<*>',"[' <info>', '192.168.124.2']"
62,Jun,2,09:34:40,localhost,NetworkManager[570], <info>    domain name 'localdomain',E24,<info> domain name 'localdomain',[' <info>']
63,Jun,2,09:34:40,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service',E9,[system] Activating via systemd: service <*> <*>,[]
64,Jun,2,09:34:40,localhost,dhclient[741], bound to 192.168.124.130 -- renewal in 676 seconds.,E25,bound to <*> -- renewal in <*> seconds.,[]
65,Jun,2,09:34:40,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.nm_dispatcher',E10,[system] Successfully activated service <*>,[]
66,Jun,2,09:34:40,localhost,nm-dispatcher, Dispatching action 'dhcp4-change' for eno16777984,E26,Dispatching action <*> for eno16777984,[]
67,Jun,2,09:39:58,localhost,dbus[583], [system] Activating via systemd: service name='org.freedesktop.PackageKit' unit='packagekit.service',E9,[system] Activating via systemd: service <*> <*>,[]
68,Jun,2,09:39:58,localhost,dbus[583], [system] Successfully activated service 'org.freedesktop.PackageKit',E10,[system] Successfully activated service <*>,[]
69,Jun,2,09:39:58,localhost,PackageKit, search-file transaction /16_acaccccb from uid 1000 finished with success after 229ms,E33,search-file transaction <*> from uid <*> finished with success after <*>,[]
70,Jun,2,09:42:18,localhost,dbus[583], [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service',E9,[system] Activating via systemd: service <*> <*>,[]
71,Jun,2,09:42:18,localhost,dbus[583], [system] Successfully activated service 'net.reactivated.Fprint',E10,[system] Successfully activated service <*>,[]
72,Jun,2,09:42:18,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
73,Jun,2,09:42:18,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
74,Jun,2,09:42:18,localhost,fprintd, ** Message: entering main loop,E13,** Message: entering main loop,[]
75,Jun,2,09:42:48,localhost,fprintd," ** Message: No devices in use, exit",E14,"** Message: No devices in use, exit",[]
76,Jun,2,09:42:53,localhost,dbus[583], [system] Activating via systemd: service name='net.reactivated.Fprint' unit='fprintd.service',E9,[system] Activating via systemd: service <*> <*>,[]
77,Jun,2,09:42:53,localhost,dbus[583], [system] Successfully activated service 'net.reactivated.Fprint',E10,[system] Successfully activated service <*>,[]
78,Jun,2,09:42:53,localhost,fprintd, Launching FprintObject,E11,Launching FprintObject,[]
79,Jun,2,09:42:53,localhost,fprintd, ** Message: D-Bus service launched with name: net.reactivated.Fprint,E12,** Message: D-Bus service launched with name: net.reactivated.Fprint,[]
80,Jun,2,09:42:53,localhost,fprintd, ** Message: entering main loop,E13,** Message: entering main loop,[]
81,Jun,2,09:43:23,localhost,fprintd," ** Message: No devices in use, exit",E14,"** Message: No devices in use, exit",[]
82,Jun,2,09:45:56,localhost,dhclient[741], DHCPREQUEST on eno16777984 to 192.168.124.254 port 67 (xid=0xc146ae0),E15,DHCPREQUEST on eno16777984 to <*> port 67 <*>,[]
83,Jun,2,09:45:56,localhost,dhclient[741], DHCPACK from 192.168.124.254 (xid=0xc146ae0),E16,DHCPACK from <*> <*>,[]
84,Jun,2,09:45:56,localhost,NetworkManager[570], <info>  (eno16777984): DHCPv4 state changed renew -> renew,E17,<info> (eno16777984): DHCPv4 state changed <*> -> <*>,"[' <info>', 'renew', '-> renew']"
85,Jun,2,09:45:56,localhost,NetworkManager[570], <info>    address 192.168.124.130,E18,<info> address <*>,"[' <info>', '192.168.124.130']"
